ID,NOMBRE_DE,CLAVE_DE_L,NOMBRE_DEL,CLAVE_DEL,NOMBRE_D_1,CLAVE_DE_1,NOMBRE_TIP,TOTAL_DE_C,TOTAL_DE_1,NOMBRE_D_6,ESTATUS_DE,LONGITUD,LATITUD,TIPO_CERTI
1.00000000000,CIUDAD DE MEXICO,"09",ÁLVARO OBREGÓN,"010",ALVARO OBREGON,"0001",DE HOSPITALIZACIÓN,0.00000000000,172.00000000000,"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER, I.A.P. (HOSPITAL ABC)",EN OPERACION,"-99.204129","19.400054",NO ESPECIFICADO
2.00000000000,CIUDAD DE MEXICO,"09",CUAJIMALPA DE MORELOS,"004",CUAJIMALPA DE MORELOS,"0001",DE HOSPITALIZACIÓN,0.00000000000,0.00000000000,"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER, I.A.P. (CENTRO MÉDICO ABC SANTA FE)",EN OPERACION,"-99.281896","19.3573077",NO ESPECIFICADO
3.00000000000,CIUDAD DE MEXICO,"09",MIGUEL HIDALGO,"016",MIGUEL HIDALGO,"0001",DE HOSPITALIZACIÓN,78.00000000000,401.00000000000,SOCIEDAD DE BENEFICENCIA ESPAÑOLA I.A.P. (HOSPITAL ESPAÑOL),EN OPERACION,"-99.195715","19.438697",NO ESPECIFICADO
4.00000000000,CIUDAD DE MEXICO,"09",GUSTAVO A. MADERO,"005",GUSTAVO A. MADERO,"0001",DE HOSPITALIZACIÓN,0.00000000000,0.00000000000,"HOSPITAL DE ESPECIALIDADES MIG, S.A. DE C.V.",EN OPERACION,"-99.1264344","19.491525",NO ESPECIFICADO
5.00000000000,CIUDAD DE MEXICO,"09",TLALPAN,"012",TLALPAN,"0001",DE HOSPITALIZACIÓN,0.00000000000,0.00000000000,"MEDICA SUR, S.A.B. DE C.V. (SOCIEDAD ANÓNIMA BURSÁTIL DE CAPITAL VARIABLE)",EN OPERACION,"-99.1606621","19.2964307",NO ESPECIFICADO
6.00000000000,CIUDAD DE MEXICO,"09",BENITO JUÁREZ,"014",BENITO JUAREZ,"0001",DE HOSPITALIZACIÓN,0.00000000000,0.00000000000,"HOSPITAL INFANTIL PRIVADO, S.A. DE C.V.",EN OPERACION,"-99.17913369","19.3964183",NO ESPECIFICADO
7.00000000000,CIUDAD DE MEXICO,"09",CUAUHTÉMOC,"015",CUAUHTEMOC,"0001",DE HOSPITALIZACIÓN,14.00000000000,36.00000000000,SANATORIO TRINIDAD S.A. DE C.V.,EN OPERACION,"-99.164646","19.40759",NO ESPECIFICADO
8.00000000000,CIUDAD DE MEXICO,"09",CUAUHTÉMOC,"015",CUAUHTEMOC,"0001",DE HOSPITALIZACIÓN,0.00000000000,0.00000000000,IMAGEN Y DIAGNOSTICO MÉDICO ESPECIALIZADO S.A. DE C.V.,EN OPERACION,"-99.16483569","19.40756354",NO ESPECIFICADO
9.00000000000,CIUDAD DE MEXICO,"09",CUAUHTÉMOC,"015",CUAUHTEMOC,"0001",DE HOSPITALIZACIÓN,0.00000000000,0.00000000000,CENTRO MÉDICO DALINDE INTER HOSP. S.A. DE C.V.,EN OPERACION,"-99.1444","19.4431",NO ESPECIFICADO
10.00000000000,CIUDAD DE MEXICO,"09",TLALPAN,"012",TLALPAN,"0001",DE HOSPITALIZACIÓN,0.00000000000,0.00000000000,CLÍNICA SAN RAFAEL / SANATORIOS DE MÉXICO S.A. DE C.V.,EN OPERACION,"-99.175733","19.2839569",NO ESPECIFICADO
11.00000000000,CIUDAD DE MEXICO,"09",MIGUEL HIDALGO,"016",MIGUEL HIDALGO,"0001",DE HOSPITALIZACIÓN,15.00000000000,0.00000000000,SANTA TERESA INSTITUCIÓN GINECO OBSTÉTRICA S.A. DE C.V.,EN OPERACION,"-99.2063412","19.422151",NO ESPECIFICADO
